var_id,var_label,var_units
shrimp_revenue_coastwide,Revenue (millions $),Millions $ (year 2015)
shrimp_revenue_or,Revenue (millions $),Millions $ (year 2015)
shrimp_revenue_wa,Revenue (millions $),Millions $ (year 2015)
simpson_diversity,NA,1-lambda
skipjack_tuna_biomass,Relative Biomass Index,metric tonnes
skipjack_tuna_recruitment,Recruitment Index,thousands of fish
social_vulnerability_index,Community social vulnerability index score,Index
southern_copepod_biomass_anomaly,mg C -m3,Biomass anomaly
species_richness,NA,Spp per 5020 indiv
squid_landings_ca,Landings (1000s mt),1000s metric tons
squid_landings_coastwide,Landings (1000s mt),1000s metric tons
squid_landings_or,Landings (1000s mt),1000s metric tons
squid_revenue_ca,Revenue (millions $),Millions $ (year 2015)
squid_revenue_coastwide,Revenue (millions $),Millions $ (year 2015)
squid_revenue_or,Revenue (millions $),Millions $ (year 2015)
SST,NA,degree_C
sti,STI,yearday
SWE_anomaly,Columbia Glaciated,April 1 anomaly
SWE_anomaly,Columbia Unglaciated,April 1 anomaly
SWE_anomaly,OR - N CA Coastal,April 1 anomaly
SWE_anomaly,Sac - San Joaquin,April 1 anomaly
SWE_anomaly,Salish Sea & WA coast,April 1 anomaly
swordfish_eastern_pacific_exploitable_total_biomass,Total Biomass,metric tonnes
swordfish_western_central_pacific_exploitable_recruitment,Recruitment,thousands of fish
swordfish_western_central_pacific_spawning_stock_biomass,Total Biomass,metric tonnes
total_fisheries_landings_ca,Landings (1000s mt),1000s metric tons
total_fisheries_landings_coastwide,Landings (1000s mt),1000s metric tons
total_fisheries_landings_or,Landings (1000s mt),1000s metric tons
total_fisheries_landings_wa,Landings (1000s mt),1000s metric tons
total_fisheries_revenue_ca,Revenue (millions $),Millions $ (year 2015)
total_fisheries_revenue_coastwide,Revenue (millions $),Millions $ (year 2015)
total_fisheries_revenue_or,Revenue (millions $),Millions $ (year 2015)
total_fisheries_revenue_wa,Revenue (millions $),Millions $ (year 2015)
tumi,TUMI,m^3/s/100m coastline
upwelling_index,NA,m^3/s/100m coastline
vwnd,NA,m s-1
yellowfin_tuna_recruitment,Recruitment,thousands of fish
yellowfin_tuna_spawning_stock_biomass_index,Spawning Stock Biomass Index,metric tonnes
NA,NA,Index
NA,NA,NA
