time,latitude,BEUTI
UTC,degrees_north,mmol m-1 s-1
1993-10-15T00:00:00Z,45.0,0.426
1993-11-15T00:00:00Z,33.0,0.014
1993-11-15T00:00:00Z,39.0,4.308
1993-11-15T00:00:00Z,45.0,1.123
1993-12-15T00:00:00Z,33.0,0.195
1993-12-15T00:00:00Z,39.0,0.148
1993-12-15T00:00:00Z,45.0,-7.233
1994-01-15T00:00:00Z,33.0,0.287
1994-01-15T00:00:00Z,39.0,1.708
1994-01-15T00:00:00Z,45.0,-2.582
1994-02-15T00:00:00Z,33.0,0.282
1994-02-15T00:00:00Z,39.0,1.476
1994-02-15T00:00:00Z,45.0,-4.906
1994-03-15T00:00:00Z,33.0,0.463
1994-03-15T00:00:00Z,39.0,4.963
1994-03-15T00:00:00Z,45.0,0.318
1994-04-15T00:00:00Z,33.0,1.056
1994-04-15T00:00:00Z,39.0,18.896
1994-04-15T00:00:00Z,45.0,1.092
1994-05-15T00:00:00Z,33.0,0.487
1994-05-15T00:00:00Z,39.0,16.045
1994-05-15T00:00:00Z,45.0,0.73
1994-06-15T00:00:00Z,33.0,0.063
1994-06-15T00:00:00Z,39.0,19.103
1994-06-15T00:00:00Z,45.0,0.12
1994-07-15T00:00:00Z,33.0,0.017
1994-07-15T00:00:00Z,39.0,15.015
1994-07-15T00:00:00Z,45.0,1.039
1994-08-15T00:00:00Z,33.0,0.006
1994-08-15T00:00:00Z,39.0,6.512
1994-08-15T00:00:00Z,45.0,0.068
1994-09-15T00:00:00Z,33.0,0.004
1994-09-15T00:00:00Z,39.0,1.954
1994-09-15T00:00:00Z,45.0,0.045
1994-10-15T00:00:00Z,33.0,0.01
1994-10-15T00:00:00Z,39.0,8.432
1994-10-15T00:00:00Z,45.0,0.285
1994-11-15T00:00:00Z,33.0,0.29
1994-11-15T00:00:00Z,39.0,4.973
1994-11-15T00:00:00Z,45.0,-1.412
1994-12-15T00:00:00Z,33.0,0.638
1994-12-15T00:00:00Z,39.0,0.57
1994-12-15T00:00:00Z,45.0,-9.285
1995-01-15T00:00:00Z,33.0,0.627
1995-01-15T00:00:00Z,39.0,-15.855
1995-01-15T00:00:00Z,45.0,-7.616
1995-02-15T00:00:00Z,33.0,0.237
1995-02-15T00:00:00Z,39.0,2.519
1995-02-15T00:00:00Z,45.0,-2.708
1995-03-15T00:00:00Z,33.0,0.265
1995-03-15T00:00:00Z,39.0,0.792
1995-03-15T00:00:00Z,45.0,-3.258
1995-04-15T00:00:00Z,33.0,1.511
1995-04-15T00:00:00Z,39.0,16.777
1995-04-15T00:00:00Z,45.0,2.354
1995-05-15T00:00:00Z,33.0,1.016
1995-05-15T00:00:00Z,39.0,17.695
1995-05-15T00:00:00Z,45.0,1.516
1995-06-15T00:00:00Z,33.0,0.334
1995-06-15T00:00:00Z,39.0,14.565
1995-06-15T00:00:00Z,45.0,0.753
1995-07-15T00:00:00Z,33.0,0.033
1995-07-15T00:00:00Z,39.0,4.65
1995-07-15T00:00:00Z,45.0,0.568
1995-08-15T00:00:00Z,33.0,0.005
1995-08-15T00:00:00Z,39.0,5.868
1995-08-15T00:00:00Z,45.0,0.691
1995-09-15T00:00:00Z,33.0,0.006
1995-09-15T00:00:00Z,39.0,0.743
1995-09-15T00:00:00Z,45.0,0.072
1995-10-15T00:00:00Z,33.0,0.005
1995-10-15T00:00:00Z,39.0,2.536
1995-10-15T00:00:00Z,45.0,0.05
1995-11-15T00:00:00Z,33.0,0.015
1995-11-15T00:00:00Z,39.0,2.247
1995-11-15T00:00:00Z,45.0,-0.968
1995-12-15T00:00:00Z,33.0,0.153
1995-12-15T00:00:00Z,39.0,-0.59
1995-12-15T00:00:00Z,45.0,-1.355
1996-01-15T00:00:00Z,33.0,0.571
1996-01-15T00:00:00Z,39.0,3.307
1996-01-15T00:00:00Z,45.0,0.274
1996-02-15T00:00:00Z,33.0,0.551
1996-02-15T00:00:00Z,39.0,-1.002
1996-02-15T00:00:00Z,45.0,-2.839
1996-03-15T00:00:00Z,33.0,0.514
1996-03-15T00:00:00Z,39.0,6.644
1996-03-15T00:00:00Z,45.0,-0.425
1996-04-15T00:00:00Z,33.0,0.506
1996-04-15T00:00:00Z,39.0,7.183
1996-04-15T00:00:00Z,45.0,-2.793
1996-05-15T00:00:00Z,33.0,0.042
1996-05-15T00:00:00Z,39.0,26.232
1996-05-15T00:00:00Z,45.0,0.679
1996-06-15T00:00:00Z,33.0,0.064
1996-06-15T00:00:00Z,39.0,32.898
1996-06-15T00:00:00Z,45.0,0.552
1996-07-15T00:00:00Z,33.0,0.01
1996-07-15T00:00:00Z,39.0,15.877
1996-07-15T00:00:00Z,45.0,0.922
1996-08-15T00:00:00Z,33.0,0.007
1996-08-15T00:00:00Z,39.0,13.986
1996-08-15T00:00:00Z,45.0,2.209
1996-09-15T00:00:00Z,33.0,0.002
1996-09-15T00:00:00Z,39.0,5.366
1996-09-15T00:00:00Z,45.0,0.255
1996-10-15T00:00:00Z,33.0,0.023
1996-10-15T00:00:00Z,39.0,4.477
1996-10-15T00:00:00Z,45.0,0.194
1996-11-15T00:00:00Z,33.0,0.176
1996-11-15T00:00:00Z,39.0,5.136
1996-11-15T00:00:00Z,45.0,0.119
1996-12-15T00:00:00Z,33.0,0.137
1996-12-15T00:00:00Z,39.0,-2.138
1996-12-15T00:00:00Z,45.0,-4.601
1997-01-15T00:00:00Z,33.0,0.413
1997-01-15T00:00:00Z,39.0,0.571
1997-01-15T00:00:00Z,45.0,-1.96
1997-02-15T00:00:00Z,33.0,1.207
1997-02-15T00:00:00Z,39.0,15.522
1997-02-15T00:00:00Z,45.0,1.86
1997-03-15T00:00:00Z,33.0,0.331
1997-03-15T00:00:00Z,39.0,16.252
1997-03-15T00:00:00Z,45.0,-4.037
1997-04-15T00:00:00Z,33.0,0.343
1997-04-15T00:00:00Z,39.0,23.427
1997-04-15T00:00:00Z,45.0,1.749
1997-05-15T00:00:00Z,33.0,0.024
1997-05-15T00:00:00Z,39.0,3.597
1997-05-15T00:00:00Z,45.0,0.201
1997-06-15T00:00:00Z,33.0,0.012
1997-06-15T00:00:00Z,39.0,13.117
1997-06-15T00:00:00Z,45.0,0.053
1997-07-15T00:00:00Z,33.0,0.006
1997-07-15T00:00:00Z,39.0,9.588
1997-07-15T00:00:00Z,45.0,0.282
1997-08-15T00:00:00Z,33.0,0.002
1997-08-15T00:00:00Z,39.0,2.172
1997-08-15T00:00:00Z,45.0,0.254
1997-09-15T00:00:00Z,33.0,0.001
1997-09-15T00:00:00Z,39.0,0.185
1997-09-15T00:00:00Z,45.0,0.0
1997-10-15T00:00:00Z,33.0,0.003
1997-10-15T00:00:00Z,39.0,1.638
1997-10-15T00:00:00Z,45.0,-0.009
