time,index,timeseries
1966-01-16T12:00:00Z,-0.281,NOI
1966-02-15T00:00:00Z,0.768,NOI
1966-03-16T12:00:00Z,0.258,NOI
1966-04-16T00:00:00Z,-0.986,NOI
1966-05-16T12:00:00Z,-1.6,NOI
1966-06-16T00:00:00Z,-0.606,NOI
1966-07-16T12:00:00Z,-0.095,NOI
1966-08-16T12:00:00Z,0.336,NOI
1966-09-16T00:00:00Z,-0.847,NOI
1966-10-16T12:00:00Z,1.222,NOI
1966-11-16T00:00:00Z,-3.075,NOI
1966-12-16T12:00:00Z,-0.58,NOI
1967-01-16T12:00:00Z,2.648,NOI
1967-02-15T00:00:00Z,5.8,NOI
1967-03-16T12:00:00Z,-0.511,NOI
1967-04-16T00:00:00Z,-1.076,NOI
1967-05-16T12:00:00Z,2.152,NOI
1967-06-16T00:00:00Z,-0.708,NOI
1967-07-16T12:00:00Z,1.402,NOI
1967-08-16T12:00:00Z,-0.236,NOI
1967-09-16T00:00:00Z,-2.308,NOI
1967-10-16T12:00:00Z,0.855,NOI
1967-11-16T00:00:00Z,-3.208,NOI
1967-12-16T12:00:00Z,1.122,NOI
1968-01-16T12:00:00Z,1.88,NOI
1968-02-15T12:00:00Z,-4.044,NOI
1968-03-16T12:00:00Z,-0.36,NOI
1968-04-16T00:00:00Z,3.323,NOI
1968-05-16T12:00:00Z,0.848,NOI
1968-06-16T00:00:00Z,1.135,NOI
1968-07-16T12:00:00Z,1.551,NOI
1968-08-16T12:00:00Z,0.229,NOI
1968-09-16T00:00:00Z,0.184,NOI
1968-10-16T12:00:00Z,-0.473,NOI
1968-11-16T00:00:00Z,-0.465,NOI
1968-12-16T12:00:00Z,-2.023,NOI
1969-01-16T12:00:00Z,-5.651,NOI
1969-02-15T00:00:00Z,-5.94,NOI
1969-03-16T12:00:00Z,1.665,NOI
1969-04-16T00:00:00Z,-1.301,NOI
1969-05-16T12:00:00Z,-2.049,NOI
1969-06-16T00:00:00Z,-2.288,NOI
1969-07-16T12:00:00Z,0.632,NOI
1969-08-16T12:00:00Z,-0.834,NOI
1969-09-16T00:00:00Z,-0.444,NOI
1969-10-16T12:00:00Z,-1.483,NOI
1969-11-16T00:00:00Z,-1.27,NOI
1969-12-16T12:00:00Z,-2.027,NOI
1970-01-16T12:00:00Z,-4.9,NOI
1970-02-15T00:00:00Z,-3.812,NOI
1970-03-16T12:00:00Z,1.829,NOI
1970-04-16T00:00:00Z,4.095,NOI
1970-05-16T12:00:00Z,2.671,NOI
1970-06-16T00:00:00Z,-0.026,NOI
1970-07-16T12:00:00Z,-0.264,NOI
1970-08-16T12:00:00Z,0.458,NOI
1970-09-16T00:00:00Z,2.211,NOI
1970-10-16T12:00:00Z,-0.142,NOI
1970-11-16T00:00:00Z,-3.005,NOI
1970-12-16T12:00:00Z,1.076,NOI
1971-01-16T12:00:00Z,5.065,NOI
1971-02-15T00:00:00Z,7.349,NOI
1971-03-16T12:00:00Z,3.831,NOI
1971-04-16T00:00:00Z,2.526,NOI
1971-05-16T12:00:00Z,2.057,NOI
1971-06-16T00:00:00Z,0.491,NOI
1971-07-16T12:00:00Z,1.12,NOI
1971-08-16T12:00:00Z,-0.426,NOI
1971-09-16T00:00:00Z,0.79,NOI
1971-10-16T12:00:00Z,3.652,NOI
1971-11-16T00:00:00Z,3.086,NOI
1971-12-16T12:00:00Z,2.493,NOI
1972-01-16T12:00:00Z,4.455,NOI
1972-02-15T12:00:00Z,1.071,NOI
1972-03-16T12:00:00Z,1.899,NOI
1972-04-16T00:00:00Z,-0.093,NOI
1972-05-16T12:00:00Z,-1.278,NOI
1972-06-16T00:00:00Z,-1.258,NOI
1972-07-16T12:00:00Z,-1.687,NOI
1972-08-16T12:00:00Z,-1.633,NOI
1972-09-16T00:00:00Z,-0.636,NOI
1972-10-16T12:00:00Z,-2.359,NOI
1972-11-16T00:00:00Z,-1.25,NOI
1972-12-16T12:00:00Z,-0.199,NOI
1973-01-16T12:00:00Z,-2.303,NOI
1973-02-15T00:00:00Z,-8.273,NOI
1973-03-16T12:00:00Z,2.683,NOI
1973-04-16T00:00:00Z,3.538,NOI
1973-05-16T12:00:00Z,0.334,NOI
1973-06-16T00:00:00Z,1.967,NOI
1973-07-16T12:00:00Z,0.96,NOI
1973-08-16T12:00:00Z,2.283,NOI
1973-09-16T00:00:00Z,0.876,NOI
1973-10-16T12:00:00Z,1.554,NOI
1973-11-16T00:00:00Z,0.726,NOI
1973-12-16T12:00:00Z,0.595,NOI
1974-01-16T12:00:00Z,0.559,NOI
1974-02-15T00:00:00Z,5.932,NOI
1974-03-16T12:00:00Z,-1.769,NOI
1974-04-16T00:00:00Z,3.413,NOI
1974-05-16T12:00:00Z,2.223,NOI
1974-06-16T00:00:00Z,0.209,NOI
1974-07-16T12:00:00Z,0.3,NOI
1974-08-16T12:00:00Z,0.76,NOI
1974-09-16T00:00:00Z,-0.324,NOI
1974-10-16T12:00:00Z,2.55,NOI
1974-11-16T00:00:00Z,1.337,NOI
1974-12-16T12:00:00Z,4.283,NOI
1975-01-16T12:00:00Z,4.746,NOI
1975-02-15T00:00:00Z,-0.692,NOI
1975-03-16T12:00:00Z,-0.405,NOI
1975-04-16T00:00:00Z,3.509,NOI
1975-05-16T12:00:00Z,0.864,NOI
1975-06-16T00:00:00Z,1.393,NOI
1975-07-16T12:00:00Z,0.624,NOI
1975-08-16T12:00:00Z,3.053,NOI
1975-09-16T00:00:00Z,2.615,NOI
1975-10-16T12:00:00Z,2.152,NOI
1975-11-16T00:00:00Z,3.264,NOI
1975-12-16T12:00:00Z,4.765,NOI
1976-01-16T12:00:00Z,5.938,NOI
1976-02-15T12:00:00Z,2.329,NOI
1976-03-16T12:00:00Z,4.956,NOI
1976-04-16T00:00:00Z,-1.774,NOI
1976-05-16T12:00:00Z,0.244,NOI
1976-06-16T00:00:00Z,-0.621,NOI
1976-07-16T12:00:00Z,-1.251,NOI
1976-08-16T12:00:00Z,-0.652,NOI
1976-09-16T00:00:00Z,-1.777,NOI
1976-10-16T12:00:00Z,0.778,NOI
1976-11-16T00:00:00Z,0.032,NOI
1976-12-16T12:00:00Z,0.625,NOI
1977-01-16T12:00:00Z,0.306,NOI
1977-02-15T00:00:00Z,4.662,NOI
1977-03-16T12:00:00Z,4.331,NOI
1977-04-16T00:00:00Z,0.704,NOI
1977-05-16T12:00:00Z,-1.105,NOI
1977-06-16T00:00:00Z,0.206,NOI
1977-07-16T12:00:00Z,1.129,NOI
1977-08-16T12:00:00Z,-2.196,NOI
1977-09-16T00:00:00Z,-1.922,NOI
1977-10-16T12:00:00Z,-0.705,NOI
1977-11-16T00:00:00Z,0.418,NOI
1977-12-16T12:00:00Z,-6.57,NOI
1978-01-16T12:00:00Z,-7.837,NOI
1978-02-15T00:00:00Z,-6.265,NOI
1978-03-16T12:00:00Z,-5.78,NOI
1978-04-16T00:00:00Z,-2.177,NOI
1978-05-16T12:00:00Z,3.151,NOI
1978-06-16T00:00:00Z,2.891,NOI
1978-07-16T12:00:00Z,2.047,NOI
1978-08-16T12:00:00Z,1.42,NOI
1978-09-16T00:00:00Z,1.318,NOI
1978-10-16T12:00:00Z,0.83,NOI
1978-11-16T00:00:00Z,0.99,NOI
1978-12-16T12:00:00Z,1.565,NOI
1979-01-16T12:00:00Z,-3.011,NOI
1979-02-15T00:00:00Z,0.203,NOI
1979-03-16T12:00:00Z,-2.036,NOI
1979-04-16T00:00:00Z,-0.973,NOI
1979-05-16T12:00:00Z,-0.271,NOI
1979-06-16T00:00:00Z,2.218,NOI
1979-07-16T12:00:00Z,-2.333,NOI
1979-08-16T12:00:00Z,-1.179,NOI
1979-09-16T00:00:00Z,-1.069,NOI
1979-10-16T12:00:00Z,-3.067,NOI
1979-11-16T00:00:00Z,-1.94,NOI
1979-12-16T12:00:00Z,-3.921,NOI
1980-01-16T12:00:00Z,-5.111,NOI
1980-02-15T12:00:00Z,-8.808,NOI
1980-03-16T12:00:00Z,1.918,NOI
1980-04-16T00:00:00Z,-0.811,NOI
1980-05-16T12:00:00Z,0.384,NOI
1980-06-16T00:00:00Z,1.308,NOI
1980-07-16T12:00:00Z,-0.727,NOI
1980-08-16T12:00:00Z,-0.748,NOI
1980-09-16T00:00:00Z,-1.227,NOI
1980-10-16T12:00:00Z,0.112,NOI
1980-11-16T00:00:00Z,2.172,NOI
1980-12-16T12:00:00Z,-1.494,NOI
1981-01-16T12:00:00Z,-5.093,NOI
1981-02-15T00:00:00Z,-0.531,NOI
1981-03-16T12:00:00Z,-2.467,NOI
1981-04-16T00:00:00Z,1.342,NOI
1981-05-16T12:00:00Z,0.728,NOI
1981-06-16T00:00:00Z,0.875,NOI
1981-07-16T12:00:00Z,1.091,NOI
1981-08-16T12:00:00Z,-0.833,NOI
1981-09-16T00:00:00Z,1.382,NOI
1981-10-16T12:00:00Z,-0.931,NOI
1981-11-16T00:00:00Z,-2.93,NOI
1981-12-16T12:00:00Z,-1.241,NOI
1982-01-16T12:00:00Z,1.537,NOI
1982-02-15T00:00:00Z,-0.756,NOI
1982-03-16T12:00:00Z,-4.487,NOI
1982-04-16T00:00:00Z,-2.286,NOI
1982-05-16T12:00:00Z,-0.294,NOI
1982-06-16T00:00:00Z,-3.193,NOI
1982-07-16T12:00:00Z,-0.65,NOI
1982-08-16T12:00:00Z,-0.735,NOI
1982-09-16T00:00:00Z,-1.199,NOI
1982-10-16T12:00:00Z,-2.823,NOI
1982-11-16T00:00:00Z,-5.642,NOI
1982-12-16T12:00:00Z,-3.853,NOI
1983-01-16T12:00:00Z,-8.412,NOI
1983-02-15T00:00:00Z,-12.164,NOI
1983-03-16T12:00:00Z,-11.386,NOI
1983-04-16T00:00:00Z,-5.171,NOI
1983-05-16T12:00:00Z,-0.328,NOI
1983-06-16T00:00:00Z,0.351,NOI
1983-07-16T12:00:00Z,0.501,NOI
1983-08-16T12:00:00Z,-0.987,NOI
1983-09-16T00:00:00Z,-0.596,NOI
1983-10-16T12:00:00Z,-0.867,NOI
1983-11-16T00:00:00Z,-3.758,NOI
1983-12-16T12:00:00Z,-4.06,NOI
1984-01-16T12:00:00Z,4.257,NOI
1984-02-15T12:00:00Z,2.994,NOI
1984-03-16T12:00:00Z,1.301,NOI
1984-04-16T00:00:00Z,1.688,NOI
1984-05-16T12:00:00Z,1.318,NOI
1984-06-16T00:00:00Z,1.482,NOI
1984-07-16T12:00:00Z,-1.165,NOI
1984-08-16T12:00:00Z,1.063,NOI
1984-09-16T00:00:00Z,0.632,NOI
1984-10-16T12:00:00Z,1.62,NOI
1984-11-16T00:00:00Z,-2.479,NOI
1984-12-16T12:00:00Z,-0.324,NOI
1985-01-16T12:00:00Z,0.568,NOI
1985-02-15T00:00:00Z,6.114,NOI
1985-03-16T12:00:00Z,4.007,NOI
1985-04-16T00:00:00Z,1.571,NOI
1985-05-16T12:00:00Z,0.973,NOI
1985-06-16T00:00:00Z,-1.07,NOI
1985-07-16T12:00:00Z,-1.102,NOI
1985-08-16T12:00:00Z,0.5,NOI
1985-09-16T00:00:00Z,0.845,NOI
1985-10-16T12:00:00Z,0.881,NOI
1985-11-16T00:00:00Z,-0.695,NOI
1985-12-16T12:00:00Z,-0.512,NOI
1986-01-16T12:00:00Z,-3.013,NOI
1986-02-15T00:00:00Z,-5.392,NOI
1986-03-16T12:00:00Z,-2.448,NOI
1986-04-16T00:00:00Z,2.399,NOI
1986-05-16T12:00:00Z,-1.489,NOI
1986-06-16T00:00:00Z,-0.069,NOI
1986-07-16T12:00:00Z,2.059,NOI
1986-08-16T12:00:00Z,0.026,NOI
1986-09-16T00:00:00Z,0.221,NOI
1986-10-16T12:00:00Z,-1.131,NOI
1986-11-16T00:00:00Z,2.169,NOI
1986-12-16T12:00:00Z,-3.139,NOI
1987-01-16T12:00:00Z,0.291,NOI
1987-02-15T00:00:00Z,-1.99,NOI
1987-03-16T12:00:00Z,-5.518,NOI
1987-04-16T00:00:00Z,-2.083,NOI
1987-05-16T12:00:00Z,-1.592,NOI
1987-06-16T00:00:00Z,-1.093,NOI
1987-07-16T12:00:00Z,-3.163,NOI
1987-08-16T12:00:00Z,-2.171,NOI
1987-09-16T00:00:00Z,0.139,NOI
1987-10-16T12:00:00Z,-3.03,NOI
1987-11-16T00:00:00Z,0.566,NOI
1987-12-16T12:00:00Z,-0.861,NOI
1988-01-16T12:00:00Z,0.3,NOI
1988-02-15T12:00:00Z,2.771,NOI
1988-03-16T12:00:00Z,7.241,NOI
1988-04-16T00:00:00Z,-3.226,NOI
1988-05-16T12:00:00Z,1.243,NOI
1988-06-16T00:00:00Z,-0.313,NOI
1988-07-16T12:00:00Z,0.16,NOI
1988-08-16T12:00:00Z,-1.83,NOI
1988-09-16T00:00:00Z,2.047,NOI
1988-10-16T12:00:00Z,0.531,NOI
1988-11-16T00:00:00Z,2.418,NOI
1988-12-16T12:00:00Z,4.167,NOI
1989-01-16T12:00:00Z,8.678,NOI
1989-02-15T00:00:00Z,3.283,NOI
1989-03-16T12:00:00Z,-1.981,NOI
1989-04-16T00:00:00Z,-0.508,NOI
1989-05-16T12:00:00Z,2.382,NOI
1989-06-16T00:00:00Z,-1.819,NOI
1989-07-16T12:00:00Z,3.336,NOI
1989-08-16T12:00:00Z,0.247,NOI
1989-09-16T00:00:00Z,-0.731,NOI
1989-10-16T12:00:00Z,0.908,NOI
1989-11-16T00:00:00Z,0.928,NOI
1989-12-16T12:00:00Z,0.474,NOI
1990-01-16T12:00:00Z,2.57,NOI
1990-02-15T00:00:00Z,1.408,NOI
1990-03-16T12:00:00Z,0.761,NOI
1990-04-16T00:00:00Z,-1.402,NOI
1990-05-16T12:00:00Z,-1.015,NOI
1990-06-16T00:00:00Z,0.407,NOI
1990-07-16T12:00:00Z,-1.779,NOI
1990-08-16T12:00:00Z,-1.279,NOI
1990-09-16T00:00:00Z,-0.368,NOI
1990-10-16T12:00:00Z,0.942,NOI
1990-11-16T00:00:00Z,3.355,NOI
1990-12-16T12:00:00Z,3.352,NOI
1991-01-16T12:00:00Z,1.973,NOI
1991-02-15T00:00:00Z,-1.423,NOI
1991-03-16T12:00:00Z,-4.147,NOI
