time,latitude,CUTI
UTC,degrees_north,m2 s-1
1994-10-15T00:00:00Z,45.0,0.114
1994-11-15T00:00:00Z,33.0,0.494
1994-11-15T00:00:00Z,39.0,0.458
1994-11-15T00:00:00Z,45.0,-0.163
1994-12-15T00:00:00Z,33.0,0.41
1994-12-15T00:00:00Z,39.0,0.068
1994-12-15T00:00:00Z,45.0,-0.731
1995-01-15T00:00:00Z,33.0,0.233
1995-01-15T00:00:00Z,39.0,-1.197
1995-01-15T00:00:00Z,45.0,-0.737
1995-02-15T00:00:00Z,33.0,0.194
1995-02-15T00:00:00Z,39.0,0.3
1995-02-15T00:00:00Z,45.0,-0.169
1995-03-15T00:00:00Z,33.0,0.428
1995-03-15T00:00:00Z,39.0,0.153
1995-03-15T00:00:00Z,45.0,-0.549
1995-04-15T00:00:00Z,33.0,0.654
1995-04-15T00:00:00Z,39.0,1.254
1995-04-15T00:00:00Z,45.0,0.276
1995-05-15T00:00:00Z,33.0,0.321
1995-05-15T00:00:00Z,39.0,1.507
1995-05-15T00:00:00Z,45.0,0.518
1995-06-15T00:00:00Z,33.0,0.257
1995-06-15T00:00:00Z,39.0,1.274
1995-06-15T00:00:00Z,45.0,0.346
1995-07-15T00:00:00Z,33.0,0.258
1995-07-15T00:00:00Z,39.0,0.816
1995-07-15T00:00:00Z,45.0,0.463
1995-08-15T00:00:00Z,33.0,0.255
1995-08-15T00:00:00Z,39.0,1.347
1995-08-15T00:00:00Z,45.0,0.36
1995-09-15T00:00:00Z,33.0,0.396
1995-09-15T00:00:00Z,39.0,0.671
1995-09-15T00:00:00Z,45.0,0.236
1995-10-15T00:00:00Z,33.0,0.137
1995-10-15T00:00:00Z,39.0,0.925
1995-10-15T00:00:00Z,45.0,0.207
1995-11-15T00:00:00Z,33.0,0.298
1995-11-15T00:00:00Z,39.0,0.463
1995-11-15T00:00:00Z,45.0,-0.429
1995-12-15T00:00:00Z,33.0,0.478
1995-12-15T00:00:00Z,39.0,-0.119
1995-12-15T00:00:00Z,45.0,-0.639
1996-01-15T00:00:00Z,33.0,0.46
1996-01-15T00:00:00Z,39.0,0.554
1996-01-15T00:00:00Z,45.0,-0.086
1996-02-15T00:00:00Z,33.0,0.291
1996-02-15T00:00:00Z,39.0,-0.106
1996-02-15T00:00:00Z,45.0,-0.509
1996-03-15T00:00:00Z,33.0,0.387
